key,name,shortName,mapFrom,mapTo,networkKey,networkName,networkShortName,familyKey,familyName,familyShortName,validationRegex,validationCaseSensitive
token.EVM.ETH.SUSHI.address,SUSHI,SUSHI,crypto.SUSHI.version.ERC20.address,crypto.SUSHI.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SVCS.address,SVCS,SVCS,crypto.SVCS.address,crypto.SVCS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SWEAT.address,SWEAT,SWEAT,crypto.SWEAT.version.ERC20.address,crypto.SWEAT.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SWTH.address,Switcheo,SWTH,crypto.SWTH.address,crypto.SWTH.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.SXP.address,SXP,SXP,crypto.SXP.version.ERC20.address,crypto.SXP.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TEL.address,TEL,TEL,crypto.TEL.version.ERC20.address,crypto.TEL.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TITAN.address,TITAN,TITAN,crypto.TITAN.address,crypto.TITAN.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TLM.address,TLM,TLM,crypto.TLM.address,crypto.TLM.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TLOS.address,Telos,TLOS,crypto.TLOS.address,crypto.TLOS.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TRIBE.address,TRIBE,TRIBE,crypto.TRIBE.address,crypto.TRIBE.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.TUSD.address,TrueUSD,TUSD,crypto.TUSD.version.ERC20.address,crypto.TUSD.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
token.EVM.ETH.UBT.address,UBT,UBT,crypto.UBT.version.ERC20.address,crypto.UBT.version.ERC20.address,token.EVM.ETH.address,Ethereum,ETH,token.EVM.address,Ethereum Virtual Machine,EVM,^0x[a-fA-F0-9]{40}$,FALSE
